time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:1635999881.368595,digit:1,change:None
time:1635999881.368595,digit:2,change:None
time:1635999881.368595,digit:3,change:None
time:1635999881.368595,digit:4,change:None
time:1635999881.9747531,digit:0,change:None
time:1635999881.9747531,digit:1,change:None
time:1635999881.9747531,digit:2,change:None
time:1635999881.9747531,digit:3,change:True
time:1635999881.9747531,digit:4,change:None
time:1635999882.801718,digit:0,change:None
time:1635999882.801718,digit:1,change:None
time:1635999882.801718,digit:2,change:None
time:1635999882.801718,digit:3,change:None
time:1635999882.801718,digit:4,change:None
time:1635999886.9355981,digit:0,change:None
time:1635999886.9355981,digit:1,change:None
time:1635999886.9355981,digit:2,change:None
time:1635999886.9355981,digit:3,change:None
time:1635999886.9355981,digit:4,change:True
time:1635999888.062915,digit:0,change:None
time:1635999888.062915,digit:1,change:None
time:1635999888.062915,digit:2,change:None
time:1635999888.062915,digit:3,change:None
time:1635999888.062915,digit:4,change:None
time:1635999888.906921,digit:0,change:None
time:1635999888.906921,digit:1,change:None
time:1635999888.906921,digit:2,change:None
time:1635999888.906921,digit:3,change:None
time:1635999888.906921,digit:4,change:True
time:1635999889.9325309,digit:0,change:None
time:1635999889.9325309,digit:1,change:None
time:1635999889.9325309,digit:2,change:None
time:1635999889.9325309,digit:3,change:None
time:1635999889.9325309,digit:4,change:None
time:1635999891.2324312,digit:0,change:None
time:1635999891.2324312,digit:1,change:None
time:1635999891.2324312,digit:2,change:None
time:1635999891.2324312,digit:3,change:None
time:1635999891.2324312,digit:4,change:True
time:1635999892.001982,digit:0,change:None
time:1635999892.001982,digit:1,change:None
time:1635999892.001982,digit:2,change:None
time:1635999892.001982,digit:3,change:None
time:1635999892.001982,digit:4,change:None
time:1635999908.6987011,digit:0,change:None
time:1635999908.6987011,digit:1,change:None
time:1635999908.6987011,digit:2,change:None
time:1635999908.6987011,digit:3,change:None
time:1635999908.6987011,digit:4,change:True
time:1635999909.257772,digit:0,change:None
time:1635999909.257772,digit:1,change:None
time:1635999909.257772,digit:2,change:None
time:1635999909.257772,digit:3,change:None
time:1635999909.257772,digit:4,change:None
time:1635999922.526405,digit:0,change:None
time:1635999922.526405,digit:1,change:None
time:1635999922.526405,digit:2,change:None
time:1635999922.526405,digit:3,change:None
time:1635999922.526405,digit:4,change:True
time:1635999923.126726,digit:0,change:None
time:1635999923.126726,digit:1,change:None
time:1635999923.126726,digit:2,change:None
time:1635999923.126726,digit:3,change:None
time:1635999923.126726,digit:4,change:None
time:0,digit:0,change:None
time:0,digit:1,change:None
time:0,digit:2,change:None
time:0,digit:3,change:None
time:0,digit:4,change:None
time:0,digit:0,change:None
time:0,digit:1,change:None
time:0,digit:2,change:None
time:0,digit:3,change:None
time:0,digit:4,change:None
time:1636000893.95825,digit:0,change:True
time:1636000893.95825,digit:1,change:True
time:1636000893.95825,digit:2,change:True
time:1636000893.95825,digit:3,change:True
time:1636000894.0856462,digit:0,change:None
time:1636000894.0856462,digit:1,change:None
time:1636000894.0856462,digit:2,change:None
time:1636000894.0856462,digit:3,change:None
time:1636000895.758208,digit:4,change:True
time:1636000896.662789,digit:4,change:None
time:1636000898.393992,digit:4,change:True
time:1636000899.491071,digit:4,change:None
time:1636000903.7305658,digit:0,change:True
time:1636000906.0596192,digit:0,change:None
time:1636000906.929853,digit:0,change:True
time:1636000908.1881301,digit:0,change:None
time:1636000909.559129,digit:0,change:True
time:1636000910.383731,digit:0,change:None
time:1636000911.023844,digit:1,change:True
time:1636000912.051735,digit:1,change:None
time:1636000913.15762,digit:1,change:True
time:1636000913.9142249,digit:1,change:None
time:1636000914.6844869,digit:2,change:True
time:1636000915.381453,digit:2,change:None
time:1636000916.3556218,digit:2,change:True
time:1636000917.020724,digit:2,change:None
time:1636000917.656696,digit:3,change:True
time:1636000918.5899048,digit:3,change:None
